,Title,Site,Description,Address,PhoneNumber,ProfileUrl
0,A & S Mold and Die Corporation,https://www.aandsmold.com/,"
 Your One-Stop-Shop. A&S Mold and Die Corporation, founded in 1969, is a full service custom injection molding facility providing quality injection molding & in-house precision mold making at a competitive price. Our highly trained staff, using state of the art technology, allows us to meet and exceed our customer's expectations. A&S Mold is capable of handling all your plastics needs.  From simple to complex applications, we offer a single contact for all of your plastic injection molding requirements.","9705 Eton Avenue,Chatsworth,CA,91311",818-341-5393,https://www.iqsdirectory.com/profile/a-and-s-mold-and-die-70458/
1,"Abtec, Inc.",https://www.abtecinc.com/,"
 Abtec is a manufacturer of injection molded thermoplastics for high-tech OEMs. We provide quality injection molded plastics and engineering services to such industries as automotive, aerospace, dental, electronics, food handling, nuclear, reprographics and more.","2570 Pearl Buck Rd.,Bristol,PA,19007",215-788-0950,https://www.iqsdirectory.com/profile/abtec-54262/
2,Accent Plastics Inc.,http://www.accentplastics.com/,"
 At Accent Plastics, we make it our mission to provide precision thermoplastic injection molds and injection molded parts. We offer design, engineering, tooling, and assembly services, but our specialty has always been customizing services to create perfect solutions for our customers. We focus on maintaining quality and cost-effective products and services to ensure our customers’ success. So give us a call or visit our website to discover all we have to offer.","1925 Elise Circle,Corona,CA,92879",951-273-7777,https://www.iqsdirectory.com/profile/accent-plastics-72260/
3,Accurate / Cascadia Molding,http://www.accurateplastics.com,"
 ISO 9001-2008 registered company, Accurate Molded Plastics, specializes in injection molded plastics, insert molding, overmolding, gas assist injection molding, and thermoplastic injection molding. Because AMP has all the state-of-the-art injection molding machines and equipment to complete your injection molding project, this gives us the ability to mold a wide range of part sizes and materials. In addition, we offer our on-time response services which give us the ability to quickly produce parts to meet your specifications.","3910 Industrial Avenue,Coeur d'Alene,ID,83815",208-765-3000,https://www.iqsdirectory.com/profile/accurate-cascadia-molding-72284/
4,"Accurate Molded Products, Inc.",http://www.accuratemolded.com,"
 A plastic injection molder, ISO compliant Accurate Molded Products, Inc., has produced over 1.5 billion plastic molded parts for our customers in the medical, electrical, industrial, water treatment and hardware industries. Our growing company continues to refine and expand and also offers product development assistance with plastic design experts, and assembly and packaging services. Our many molding machines range from 75 tons to 400-ton clamp capacity and can do over molding and insert molding.","459 Warwick Industrial Drive,Warwick,RI,02886",401-739-2400,https://www.iqsdirectory.com/profile/accurate-molded-products-72285/
5,"Accurate Products, Inc.",https://www.accurate-prod.com,"
 Located in the Midwest, Accurate Products, Inc. has been a leading manufacturer in the rubber industry since 1947, providing high-quality standard and custom rubber molded parts to OEMs and industrial sectors such as agricultural, automotive and HVAC. In addition to 25,000 square feet of warehouse capacity in the US, we have successfully worked in Southeast Asia for over 20 years, sourcing high-quality products at low costs. At Accurate, we strive to exceed client expectations in every aspect of the manufacturing process, focusing on building long term profitable working relationships.Over the last few years, despite industry conditions, Accurate’s market share has continued to grow. Last year alone, we shipped over 60 million molded rubber parts from our vast product inventory including rubber grommets, mounts, suction cups, stoppers and much more. From quoting to production, direct shipping services, and more recently with the addition of private labeling capabilities, we are able to offer complete turnkey solutions based on more than six decades of valuable industry experience. In addition to having one of the largest inventory stocks in North America, the custom rubber molding department at Accurate combines the process of reverse engineering with our state-of-the-art mixing and testing equipment to manufacture parts according to customers’ exact specifications.60 years of experience has given us the skills to provide consistently precise and reliable rubber components to our valued customers. Furthermore, our progressive approach to the rubber manufacturing industry will serve us well in the years ahead – implementing creative and innovative solutions and continuing to build long term client-manufacturer partnerships. As we look ahead with willingness to adapt to the ever changing market demands, further expansion and profit growth continue to be goals within reach.","4645 N. Ravenswood Ave.,Chicago,IL,60640",800-782-7776,https://www.iqsdirectory.com/profile/accurate-products-54315/
6,"Acorn-Gencon Plastics, Inc.",https://www.acorn-gencon.com/,"
 Acorn-Gencon Plastics offers a full line of injection molded plastic products and services. With 27 injection molding presses, from 55 to 650 tons, we have the manufacturing capabilities to satisfy all your requirements, and our experienced engineering staff ensure product quality, manufacturing efficiency, and cost-effectiveness. From concept to completion, we can assist you with every step of your project. Give us a call or visit our website to start creating your perfect plastic solutions.","13818 Oaks Avenue,Chino,CA,91710",909-591-8461,https://www.iqsdirectory.com/profile/acorn-gencon-plastics-76681/
7,Acromatic Plastics,http://www.acromaticplastics.com/,"
 At Acromatic Plastics, we specialize in custom, high quality injection molding, insert molding, and structural foam molding. Our engineering team welcomes the opportunity to work with you to design the perfect plastic molded products for your specifications and application requirements. With a diverse range of injection molding machines, a fully equipped tooling shop, and secondary operation services, we have the manufacturing capabilities to bring your project to completion.","32 Jungle Road,Leominster,MA,01453",978-537-4102,https://www.iqsdirectory.com/profile/acromatic-plastics-72315/
8,Action Mold & Tool,http://actionmold.com/,"
 With more than thirty years of mold making and injection molding experience, we consider ourselves one of the world's leading custom plastic injection molders of close tolerance ultra-high performance resins, with or without the addition of modifiers. Our valued customers come back to us time and again because we offer the quality and precision they need when it comes to injection molded components. In addition to quality and accuracy, Action Mold is also committed to green manufacturing and we have significantly reduced our energy consumption and use of fossil fuel. Call us today!","1911 South Betmor Lane,Anaheim,CA,92805",714-978-0333,https://www.iqsdirectory.com/profile/action-mold-and-tool-72324/
9,Adkev Inc.,http://www.adkev.com,"
 As an insert molding and injection molded plastics company, Adkev Inc. molds small to midsize parts for the automotive and electronics industries as well as medical, office machinery, and hardware industries. We can also mold and insert mold very small parts, provide new product development with in-house mold design and production, and offer custom color matching. As a TS 16949 certified custom plastic injection molder, our standards are rigorous and demanding.","664 S. Iroquois St.,Goodland,IN,47948",219-297-4484,https://www.iqsdirectory.com/profile/adkev-72336/
10,"ADMO, Inc.",http://www.admoinc.com,"
 At ADMO, we provide plastic solutions, and we offer a complete selection of plastic injection molding services. Our engineers welcome your ideas and will work with you to design and manufacture the products that will successfully serve your applications. With our new state-of-the-art injection molding equipment, we can manufacture plastic components with superior quality and appearance. Whether you need a hundred or millions of parts, we can handle all your design and manufacturing requirements.","2550 Decade Ct.,Elgin,IL,60123",847-741-5777,https://www.iqsdirectory.com/profile/admo-72337/
11,Advanced Engineering & Molding Technology,http://www.aemt.com,"
 Here at Advanced Engineering and Molding Technology we mold all types of thermoplastic resins from commodity to engineering grades using presses ranging from 50 to 500 tons of clamping force. With over a century of combined experience we can take your project from concept to reality with the highest level of quality at the most competitive price, on time, every time.","6510 BOX SPRINGS BLVD.,Riverside,CA,92507",951-653-8461,https://www.iqsdirectory.com/profile/advanced-engineering-and-molding-technology-75486/
12,Advanced Special Tools Inc.,http://www.advancedspecialtools.com,"
 As a custom injection molder of injection molded high-precision and high-tolerance plastic components, Advanced Special Tools specializes in molding the electrical connectors and other related automotive, electronic and telecommunication parts. Our tooling division can make plastic injection molds.","320 Clark Rd.,Battle Creek,MI,49015",269-962-9697,https://www.iqsdirectory.com/profile/advanced-special-tools-54507/
13,"Advanex Americas, Inc.",http://www.advanexusa.com,"
 At Advantex Americas, we are believers in constant growth and improvement. Since our founding, we have grown to offer over 16 plants spread across 9 countries. We are transformers of the springs industry, and we continue to provide higher value added services and products every day. We are a name that symbolizes continuous growth throughout the world. Our product line includes springs, wire forms, hinges, molded parts, and a lot more. We will never turn away any customer because of size or location. Find out more details when you visit us online or give us a call today!","5780 CERRITOS AVE,Cypress,CA,90630",800-966-3302,https://www.iqsdirectory.com/profile/advanex-americas-76247/
14,"Advantage Plastic Products, Inc.",https://app-nh.com/,"
 With over 6 decades in the injection molded plastics industry, Advantage Plastic Products, Inc. offers product and plastic molding design consulting along with custom injection mold fabrication. Products are manufactured to specs in commodity grade resins with the goal being to deliver a quality injection molded and thermoplastics injection molded product on time. Our Mold Preventative Maintenance Program allows us to provide and preserve detailed information about your mold to communicate detailed mold information to the customer.","38 Henniker Street,Concord,NH,03301",603-227-9540,https://www.iqsdirectory.com/profile/advantage-plastic-products-72358/
15,AdvanTech Plastics LLC,https://advantechplastics.com/,"
 Here at AdvanTech, we pay close attention to factors that will make a difference. Our pricing standards are competitive on a global scale; we provide on-time, defect-free performance; and our specialty is in flawlessly executing design requirements. We focus on surpassing customer expectations and ensuring efficient designs by keeping knowledgeable staff and engineers on hand. Whether you need prototyping for production molding products, or secondary operations like pad printing, sonic welding, and assembly, AdvanTech has what you’re looking for.","2500 S. Eastwood Dr.,Woodstock,IL,60098",815-338-8383,https://www.iqsdirectory.com/profile/advantech-plastics-76266/
16,"Affinity Custom Molding, Inc.",http://www.affinitycustommolding.com,"
 Affinity Custom Molding is the ""true"" custom injection molder. With in-house engineering and design teams and injection mold shop, we can assist you with designing and manufacturing all your custom molding needs. We specialize in molding parts for the automotive, medical, furniture, pool, and plumbing industries, but we welcome any custom project! Here at Affinity, we have the right people and the right services to make your next project a success!","21198 M-60,Mendon,MI,49072",269-496-8423,https://www.iqsdirectory.com/profile/affinity-custom-molding-72369/
17,"AIM Plastics, Inc.",https://www.aimplastics.com/,"
 AIM Plastics provides comprehensive services that produce rapid turnaround on highly-complex plastic injection-molds, molded parts and assemblies. We offer typical project turnarounds and deliveries in as little as 3 days to 4 weeks. AIM strives to capture market share by helping our customers capture theirs, from prototype services to low or high-volume runs all with exceptional customer service.","22264 Starks Drive,Clinton Township,MI,48036",586-954-2553,https://www.iqsdirectory.com/profile/aim-plastics-54625/
18,AIM Processing Inc.,http://www.aimprocessing.com,"
 AIM Processing specializes in small part injection molding. Our mission is to help customers navigate the decisions involved with designing and manufacturing small products and help carry the project from start to finish. We seek to utilize our extensive experience and expertise to design quality products in the quickest and most cost effective way possible. Our injection molding services are further complimented by our insert molding, over molding, and secondary services.","4226 Sable Avenue,Longmont,CO,80504",303-684-0931,https://www.iqsdirectory.com/profile/aim-processing-72390/
19,"Aline Components, Inc.",https://www.alinecomponents.com/,"
 Aline Components is a manufacturer of custom injection molded thermoplastics.  We consult on your design, build your mold, assist with plastic type selection, manufacture the parts, and complete the project all the way through to packaging. Our machinists have years of experience in plastic molding.","1830 Tomlinson Rd.,Kulpsville,PA,19443",215-368-0300,https://www.iqsdirectory.com/profile/aline-components-54762/
20,All Form Silicone & Plastic Molding,https://allformsilicone.com,"
 With over 20 years in new product development and the plastic and silicone molding industry, All Form can bring your idea from initial concept to full scale manufacturing. Contact us today to confidentially discus your product or idea. We have the knowledge and ability to turn an idea into a finished product.","4624 Engen Road,Pequot Lakes,MN,56472",218-838-3564,https://www.iqsdirectory.com/profile/all-form-silicone-and-plastic-molding-78249/
21,All-Plastics LLC,http://www.all-plastics.com,"
 All-Plastics, LLC, is an innovative solutions provider with industry recognized experience in advanced molding and assembly. With over 50 years of experience, All-Plastics delivers tailored partnerships by providing value-added services in plastic design, prototyping, tool building, precision component manufacturing, machining and turnkey solutions. All-Plastics specializes in manufacturing solutions for the medical, pharmaceutical, packaging, industrial and consumer markets. ISO 13485: 2016. For more information on All-Plastics, visit our website today.SAN ANTONIO LOCATION: 200 Holdsworth Drive, Kerrville, TX 78028","15700 Midway Road,Addison,TX,75001",972-239-2686,https://www.iqsdirectory.com/profile/all-plastics-76687/
22,All-Rite Industries,http://www.allriteindustries.com,"
 All-Rite has been a proud supplier to the North American and international industrial marketplace for over 60 years. Our customers include automotive aftermarket, electronics, and appliance, military, aerospace, medical, and entrepreneurial industries. All-Rite industries utilizes high precision production equipment to produce ISO/TS16949 level quality parts, including punch presses, four-slides, CNC, spring coilers, injection molding presses, insert molding presses, and other secondary operation equipment.","470 Oakwood Roadway,Lake Zurich,IL,60047",847-540-0300,https://www.iqsdirectory.com/profile/all-rite-profile-77434/
23,All-State Plastics,http://allstateplastics.net,"
 At All-State Plastics, we have over 30 years of experience in injection molding plastics. We offer the engineering flexibility to meet the demands of existing and emerging markets. We offer the best in molding machines, tool machinery, and auxiliary equipment. We continue to grow to keep up with customer demand. All our machines offer digital technology to benefit you with accurate costs and fully-automated systems. We aim to create the most efficient designs and maximize customer benefits. It is our goal to improve the quality of our processes for all customer benefit. Contact us for additional info today!","15352 Proctor Avenue,City of Industry,CA,91745",800-544-0370,https://www.iqsdirectory.com/profile/all-state-plastics-70754/
24,"Alliance Precision Plastics, Inc.",http://www.allianceppc.com/,"
 Alliance Precision Plastics is your single source for injection molded plastic products. Whatever your plastic needs may be, we have the molding, tooling, engineering, and assembly capabilities and services to make sure you're getting the perfect plastic solution for your applications. We offer large part molding, clean room molding, insert molding, overmolding, and two-shot molding, and our engineers are ready to work with you to provide an economical and reliable solution.","1220 Lee Road,Rochester,NY,14606",585-426-5310,https://www.iqsdirectory.com/profile/alliance-precision-plastics-76688/
25,ALTEK Inc.,http://altek-inc.com/,"
 An ISO 9001-2000 and AS 9100 certified company, ALTEK offers a full selection of quality contract manufacturing services. We specialize in plastic injection molding, but we also provide exceptional design and tooling services as well. Our engineers will partner with you to take your project from concept to design and design to final product. With an in-house tooling shop and state-of-the-art injection molding machines, we can manufacture everything you need for your perfect plastic solutions.","22819 E. Appleway Ave.,Liberty Lake,WA,99019",509-924-3731,https://www.iqsdirectory.com/profile/altek-76689/
26,AMA Plastics,http://amaplastics.com/,"
 AMA Plastics is one of the top 100 plastic injection molding companies in the world, and we have earned that position by providing uncompromising quality and economical solutions. We run 92 injection molding machines ranging from 35 to 720 tons, and we have full mold making capabilities. Regardless of your application requirements, we have the manufacturing capacity and engineering expertise to meet your specifications! Give us a call or visit our website to start your next project with us!","1100 Citrus Street,Riverside,CA,92507",951-734-5600,https://www.iqsdirectory.com/profile/ama-plastics-76691/
27,American Engineering Group LLC,https://www.engineering-group.com/,"
 A variegated engineering company with product design analysis, development & manufacturing capabilities, American Engineering Group is an expert in cost reduction & contract manufacturing. A wide range of products include rubber gaskets, rubber seals, plastic caps, rubber fuel tubes, plastic washers, metal stampings, metal chains & metal hooks. AEG group offers extensive product services including compression molding, blow molding, platting, cold head forming, casting, tool & die design, CAD simulations & product mockups. Industries served include aerospace & medical. ISO 9001:2000 certified.","934 Grant Street, Suite # 101,Akron,OH,44301",330-375-1975,https://www.iqsdirectory.com/profile/american-engineering-group-70003/
28,American Plastic Molding,http://www.apmc.com,"
 American Plastic Molding offers custom injection molded plastics with 34 molding machines from 44 tons to 725 tons.  Our capabilities include hot stamping, pad printing, insert molding, ultrasonic welding, packaging, machining, prototypes and sub-assembly. We are ISO certified.","965 S Elm St,Scottsburg,IN,47170",877-527-8427,https://www.iqsdirectory.com/profile/american-plastic-molding-55040/
29,American Precision Products,http://www.injection-moldings.com,"
 American Precision Products is a custom injection molding firm offering expert solutions in molding with thermoplastics, thermoplastic elastomers, and thermoset materials. For commercial and government applications, we provide short and long molding runs. Our specialty is in injection molding, insert molding, tight tolerance requirements, assembly & contract manufacturing and more. Contact us for all your injection molding, transfer molding, compression molding, and vacuum forming needs.","520 Green Cove Road SE,Huntsville,AL,35803",800-889-7674,https://www.iqsdirectory.com/profile/american-precision-products-55045/
30,"American Tool & Mold, Inc.",http://a-t-m.com/,"
 American Tool & Mold is a leading manufacturer of plastic injection molds and plastic injection molded products. With a full-service machine shop, we can construct complex, precision, multi-cavity molds. We also specialize in two-shot molding which allows us to use different resins and colors all in the same process, and we offer many other injection molding services as well. So whether you need a mold, molding services, or both, we can meet all your design and manufacturing needs.","1700 Sunshine Drive,Clearwater,FL,33765",727-447-7377,https://www.iqsdirectory.com/profile/american-tool-and-mold-76692/
31,AMTEC Molded Products,http://www.amtecmolded.com/,"
 AMTEC Precision Products is a complete source for injection molded plastics and insert molding. We offer on-site engineering and assistance in resin selection. We also deliver a variety of secondary services to a broad range of clients.","1355 Holmes Road,Elgin,IL,60123",815-226-0187,https://www.iqsdirectory.com/profile/amtec-molded-products-55139/
32,Anderson Technologies Inc.,https://www.andtec.com/,"
 Anderson Technologies is a plastic injection molding company, but we are so much more than that. We make your success our primary focus, and we get involved in your project at the very beginning. Our engineers will assist you with your concept and design; they will help you with prototyping, design analysis, material selection, and sustainability. We want to be with you for every step of your project to ensure that we are providing you with a perfect solution for your applications.","14000 172nd Ave,Grand Haven,MI,49417",616-844-2505,https://www.iqsdirectory.com/profile/anderson-technologies-76694/
33,"Applied Plastic Technology, Inc.",http://www.aplastic.com/,"
 Applied Plastic Technology is your one-stop manufacturing company for plastic injection molding. We design, prototype, and build plastic injection molds, but we can also supply injection molding services. Our injection molding machines range in size from 28 tons to 500 tons, so you can be assured that we are prepared to meet all your production needs. Give us a call or visit our website to discover our complete selection of molding services.","169 Fremont St.,Worcester,MA,01603",508-752-5924,https://www.iqsdirectory.com/profile/applied-plastic-technology-76695/
34,Armstrong Mold Corporation,http://www.armstrongrm.com/,"
 At Armstrong Mold, we manufacture both metal and plastic components. We specialize in prototyping and low-volume production, and we can meet your plastic and metal component needs with injection molding, casting, and machining services. Our design team will work with you every step of the way to ensure that we can get you the products you need in a quick and cost-effective manner. Call us or visit our website for a complete look at our exceptional services.","6190 Manlius Center Rd,East Syracuse,NY,13057",315-437-1517,https://www.iqsdirectory.com/profile/armstrong-mold-76696/
35,Aroplax Corporation,http://www.aroplax.com/,"
 Aroplax Corporation is a leader in custom injection molded product manufacturing. We are a ISO 9001:2009 and UL certified company, so our products and processes are held to the highest standard. It is our mission to help you get your idea off the ground, and our experienced engineering staff will work with you to make important decisions about product strength and materials. With our diverse manufacturing capabilities we have what it takes to complete your project regardless of its complexity.","200 Chelsea Road,Monticello,MN,55362",800-544-8730,https://www.iqsdirectory.com/profile/aroplax-76697/
36,Artemis Plastics,http://artemisplastics.com,"
 Artemis Plastics manufactures precision injection molded components. We are an ISO 9001 and 13485 certified and FDA compliant company, so our customers know that all our products are held to the highest standard. We have provided quality and reliable plastic components to the medical, defense, aerospace, and consumer product industries, and we are certain that we have what it takes to provide the solutions for your plastic component requirements!","2811 NE 14th Street,Ocala,FL,34470",352-732-3244,https://www.iqsdirectory.com/profile/artemis-plastics-profile-76715/
37,"Atlantis Industries, Inc.",https://atlantisusa.com/,"
 Specializing in plastic injection molding for over 4 decades, Atlantis Industries designs, tools and packages molded plastic products. Our products are used by military, plumbing, medical and automotive industries. We are cost effective in our quality production process & are ISO/TS 16949 certified.","1 Park Street,Milton,DE,19968",302-684-8542,https://www.iqsdirectory.com/profile/atlantis-70725/
38,AUCO Manufacturing Ltd.,http://aucomanufacturing.com/,"
 AUCO Manufacturing is a full-service QS9000 certified injection molding company. We utilize several state-of-the-art plastic injection molding machines and a complete mold making shop to take your product from design to completion. The whole design and manufacturing process takes place right in our facility to ensure superior control, consistency, and quality. Contact us today to get start on your next project!",1335 Morningside Ave Unit 2,416-287-0506,https://www.iqsdirectory.com/profile/auco-manufacturing-ltd-76698/
39,Automation Plastics,http://www.automationplastics.com/,"
 As an ISO 9001:2008 certified company, Automation Plastics is dedicated to exceeding your expectations with quality plastic components. We are a custom injection molder, and we specialize in designing and fabricating parts for vibratory bowl feeders. Our engineering team regularly creates unique and special molds to meet our customers' specifications, and tight tolerances, quality control, and high volume production ensure your project gets done correctly and quickly. So contact us today!","150 Lena Drive,Aurora,OH,44202",330-562-5148,https://www.iqsdirectory.com/profile/automation-plastics-76699/
40,"Autronic Plastics, Inc",http://www.apisolution.com,"
 Precision plastic injection molder, Autronic Plastics, can turn plastic materials into an award-winning molded plastic product. Known worldwide for efficient plastic injection molding processes API works directly with customers for the right molded plastic design and product result.  We have 250 years of experience combined & our quality policy states, “Do it right today, and even better tomorrow""",",Westbury,NY,11590",516-333-7577,https://www.iqsdirectory.com/profile/autronic-plastics-71837/
41,Axcell™,http://www.axcellproducts.com/,"
 Heyco has spent over 75 years designing and manufacturing molded wire protection products and electrical components. For high quality cordset components, take a look at our complete catalog containing many styles of blades, ground pins, terminals, connectors and other equipment. Our in-house tool and die shops allow us to provide custom stampings in addition to our extensive line of cordset parts.","1800 Industrial Way North,Toms River,NJ,08754","732-286-1800,800-526-4182",https://www.iqsdirectory.com/profile/axcell-55620/
42,Ayanna Plastics & Engineering,http://www.ayannaplastics.com/,"
 Ayanna Plastics and Engineering is at the intersection of traditional craftsmanship and cutting-edge technology. We specialize in custom injection mold making and molding, and we utilize state-of-the-art machining and molding equipment to ensure that your final product is always the very best. With the addition of capabilities like hot stamping, insert molding, mold repair, and assembly, you won't be disappointed with our service, so contact us today to discover the Ayanna Plastics difference.","4701 110th Avenue North,Clearwater,FL,33762",727-561-4329,https://www.iqsdirectory.com/profile/ayanna-plastics-and-engineering-76700/
43,Aztec Tool Company Inc.,http://www.aztectool.com/,"
 Aztec Tool Company has been providing quality injection molds and molded products since 1977. We are ready to work with you to design, build molds, and manufacture your molded parts, and we stand behind our work from the very beginning until the very end. We are not satisfied until you are, so we will continue to innovate, design, and evaluate until you get a product you love! Give us a call or visit our website to discover our full selection of services!","180 Rodeo Drive,Edgewood,NY,11717",631-243-1144,https://www.iqsdirectory.com/profile/aztec-tool-76701/
44,B&B Molders LLC,http://www.bandbmolders.com,"
 Our commitment to scientific injection molding practices allows B&B Molders to manufacture high quality parts at competitive prices to all markets, which includes medical, consumer, electronics, and defense industries. B&B Molders prides itself on supplying high quality products and unparalleled service in everything we do!","58471 Fir Road,Mishawaka,IN,46544",888-965-2244,https://www.iqsdirectory.com/profile/b-and-b-molders-72177/
45,"Basler Plastics, LLC",https://www.basler.com/,"
 Basler Plastics, LLC is a trusted manufacturer of injection molded plastic components. We have many capabilities including light assembly, secondary services, and product development support. We offer injection molded plastic components in a wide variety of materials. Our facility is ISO 9001:2008 certified and we are dedicated to providing high quality products to all of our customers in a variety of industries. We are committed to serving your plastic injection molding needs. Call us today!","201 Centerpoint Road,San Marcos,TX,78666",618-654-2341,https://www.iqsdirectory.com/profile/basler-plastics-76809/
46,Baytech Plastics Inc.,http://www.baytechplastics.com/,"
 At Baytech Plastics, we are committed to our customers, and as a custom injection molding company, we will work with you from the very beginning until your project is complete. We will assist you with every step of your project: design, material selection, prototyping, manufacturing, assembly, packaging, and delivery. Our program management professionals will ensure that your project is completed within your budget and on time, so contact us today to discover our reliable, consistent, and quality services!","320 Elizabeth Street,Midland,ON,L4R 4L6",705-526-7801,https://www.iqsdirectory.com/profile/baytech-plastics-72233/
